index,230_1_www.msn.com,230_2_www.msn.com,230_3_www.msn.com,230_4_www.msn.com,230_5_www.msn.com,230_6_www.msn.com,230_7_www.msn.com,230_8_www.msn.com,230_9_www.msn.com,230_10_www.msn.com,231_1_www.msn.com,231_2_www.msn.com,231_3_www.msn.com,231_4_www.msn.com,231_5_www.msn.com,231_6_www.msn.com,231_7_www.msn.com,231_8_www.msn.com,231_9_www.msn.com,231_10_www.msn.com,232_1_www.msn.com,232_2_www.msn.com,232_3_www.msn.com,232_4_www.msn.com,232_5_www.msn.com,232_6_www.msn.com,232_7_www.msn.com,232_8_www.msn.com,232_9_www.msn.com,232_10_www.msn.com,233_1_www.msn.com,233_2_www.msn.com,233_3_www.msn.com,233_4_www.msn.com,233_5_www.msn.com,233_6_www.msn.com,233_7_www.msn.com,233_8_www.msn.com,233_9_www.msn.com,233_10_www.msn.com
1,-442.0,-113.0,-442.0,-131.0,-442.0,-442.0,-442.0,411.0,-442.0,-442.0,-442.0,-442.0,-442.0,-113.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,110.0,-442.0,-442.0,-442.0,-113.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,-113.0,-442.0,-442.0,-442.0,-442.0
2,3590.6000000000004,1540.6,1371.56,1576.94,2277.5000000000005,1540.8799999999999,4095.2,1348.2999999999997,1368.3999999999999,3098.0000000000005,4040.16,3753.8000000000006,4035.0,1562.44,3987.48,1343.6200000000001,4072.84,3676.6200000000003,3761.7799999999997,4064.24,4049.92,3849.96,3573.6,4088.18,4107.6,3837.1200000000003,3957.24,3907.74,3689.46,3766.5,1506.3,1411.06,1587.9,3997.360000000001,1516.1000000000001,1334.32,1540.8799999999999,4018.699999999999,3942.12,4022.04
3,4708.28,4425.5999999999985,4004.76,5710.08,5008.599999999999,4149.92,4423.400000000001,5212.52,4013.4,5159.2,4629.12,4514.96,4590.0,3847.32,4028.84,4985.4,4380.88,6211.76,7740.879999999999,4224.76,5423.959999999997,6176.08,6624.199999999998,8631.52,4715.28,7704.959999999997,8648.44,6358.12,6393.08,6249.0,3922.2000000000007,3837.1200000000003,4170.64,8382.52,3790.3999999999996,3882.64,4118.92,4936.84,6600.72,4216.320000000001
4,8185.76,6502.8,5333.999999999997,8794.82,8394.300000000001,4486.72,8404.9,7428.639999999998,5315.599999999996,8438.199999999999,8150.0199999999995,8141.68,8002.0,7511.319999999991,7695.5199999999995,6436.76,8389.88,14849.9,18673.34,8387.18,10063.319999999994,14416.799999999996,19162.8,13865.999999999978,8401.539999999999,11324.799999999992,12265.400000000014,9204.599999999999,16603.799999999996,13170.5,4638.1,5245.78,5723.46,18727.44,4728.7,5132.76,4617.96,8413.78,11004.599999999997,7752.76
5,13702.2,8126.4,4293.080000000001,17629.19999999999,13881.000000000005,8268.12,19031.8,14406.799999999996,4526.200000000001,15413.0,19161.92,19107.56,19568.0,14109.76,18967.6,8493.88,19189.08,34029.24,57813.76,18998.6,25595.279999999988,40694.32000000001,92547.0,27075.6,19142.8,33824.24,29758.440000000024,44561.520000000004,34021.840000000004,52704.0,8533.199999999999,4193.080000000001,5597.319999999999,59921.72,8637.4,6888.120000000001,8664.72,19378.76,34564.079999999994,18975.92
6,53332.6,18988.0,8497.2,26343.599999999962,21653.0,9722.6,45220.5,20011.100000000002,8684.0,23901.0,52667.9,43063.400000000016,57816.0,19745.000000000007,58542.8,19323.6,56982.4,55838.1,56655.6,56884.4,30627.200000000004,100252.4,132335.0,58202.1,69466.1,128712.6,34110.799999999996,49950.4,102543.9,66821.5,10717.0,8360.2,8525.9,59460.200000000004,13904.5,8317.400000000001,9615.999999999998,40613.39999999996,59010.4,49762.599999999984
7,91136.12,34046.79999999995,7995.44,88971.88,98236.2,10690.839999999998,85433.59999999999,49756.35999999999,8145.599999999999,34259.6,54845.52,57386.479999999996,57945.0,56302.639999999985,55896.52,30966.83999999998,57234.52,57518.87999999998,61573.159999999996,57082.719999999994,50768.72,101628.56,163552.59999999998,61586.920000000006,69244.16,164211.24,34679.600000000006,51184.28,131020.92,66638.0,18947.0,7457.240000000002,10414.600000000002,65420.96000000001,19870.0,19395.8,19285.84,58913.52,59270.84,58465.28
8,91386.48,85273.6,19350.600000000002,89461.14,95815.7,22249.6,95408.8,58958.68,19586.0,37427.2,55380.44,55665.52,55316.0,57034.12,58700.28,58441.18,57863.68,61374.96,67833.88,58484.92000000001,73256.34,132705.96,169617.4,67547.94,72357.36,164273.28,44146.88,62256.18,134339.88,75233.0,37122.000000000015,18657.199999999986,19427.84,69899.28,61185.9,19988.600000000002,46648.87999999998,58824.42,65251.94,61452.840000000004
9,94646.44,82823.4,18880.2,92354.07999999999,96622.8,23284.4,98244.59999999999,79990.04,20587.799999999996,40452.8,65024.31999999999,58911.64,61197.0,57372.28,63046.32,56862.52,64994.68000000001,65317.64,70108.52,63136.28,79415.24,138664.68,173725.8,74955.68,85767.36,169630.96,60335.28000000008,67792.68000000001,137147.56,80313.0,59463.6,27985.199999999997,32725.8,75125.60000000002,59281.4,50802.84000000001,59973.92,59498.08,68742.52,64305.96
10,98983.08,95482.39999999998,25598.6,96038.46,102744.9,31637.600000000064,101907.3,89101.78,40832.0,46866.4,65291.060000000005,62871.04,67252.0,60639.32,68889.96,55121.58,67685.88,73246.81999999999,87250.20000000001,67411.44,80878.81999999999,147079.64,176863.4,100547.79999999999,92009.54,181236.32,81402.32000000005,131458.46000000002,142924.16,120135.5,57660.6,60930.82,60573.56,77737.08,59709.39999999998,59199.96,60422.12,65603.62,71200.14,68330.32
