,322_1_www.tagesschau.de,322_2_www.tagesschau.de,322_3_www.tagesschau.de,322_4_www.tagesschau.de,322_5_www.tagesschau.de,322_6_www.tagesschau.de,322_7_www.tagesschau.de,322_8_www.tagesschau.de,322_9_www.tagesschau.de,322_10_www.tagesschau.de,323_1_www.tagesschau.de,323_2_www.tagesschau.de,323_3_www.tagesschau.de,323_4_www.tagesschau.de,323_5_www.tagesschau.de,323_6_www.tagesschau.de,323_7_www.tagesschau.de,323_8_www.tagesschau.de,323_9_www.tagesschau.de,323_10_www.tagesschau.de,324_1_www.tagesschau.de,324_2_www.tagesschau.de,324_3_www.tagesschau.de,324_4_www.tagesschau.de,324_5_www.tagesschau.de,324_6_www.tagesschau.de,324_7_www.tagesschau.de,324_8_www.tagesschau.de,324_9_www.tagesschau.de,324_10_www.tagesschau.de,325_1_www.tagesschau.de,325_2_www.tagesschau.de,325_3_www.tagesschau.de,325_4_www.tagesschau.de,325_5_www.tagesschau.de,325_6_www.tagesschau.de,325_7_www.tagesschau.de,325_8_www.tagesschau.de,325_9_www.tagesschau.de,325_10_www.tagesschau.de
0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,110.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
1,4130.58,3552.0,4129.52,3809.840000000001,4131.64,4654.299999999998,4125.28,3604.92,3645.76,4243.199999999999,1390.52,1343.12,1469.52,1482.64,1458.46,1357.34,1384.2,1442.66,1385.78,1407.9,1384.2,1444.24,1423.7,1415.8,1373.14,1357.34,1436.34,1517.9,1482.64,4036.72,1451.4199999999994,1469.52,1113.799999999998,1511.76,2479.9999999999986,3385.4999999999986,1074.12,1128.02,1197.199999999999,1505.3200000000006
2,8357.52,8524.0,8309.88,8422.52,10252.08,8425.4,8501.32,6013.6399999999985,8429.28,8233.48,3952.92,4072.84,3564.96,3601.3599999999988,3580.08,4041.88,3970.2,3601.68,3965.88,3862.8,3970.2,3599.52,3734.4,3798.6,4000.44,4041.88,3631.68,4086.04,3598.8799999999987,4317.719999999998,4108.32,3564.96,5380.56,3973.9199999999987,5103.200000000002,5564.399999999998,5224.96,5185.96,5524.36,4300.079999999999
3,32256.200000000004,13166.0,29453.160000000018,19555.6,14946.759999999998,43471.4,42343.72,18129.12,18440.60000000001,23159.879999999986,5257.96,4146.48,5060.52,4694.840000000001,4882.96,4633.519999999999,5358.199999999999,5115.38,5542.94,5260.100000000001,5329.6,5134.32,5107.3,5153.2,5529.22,5090.24,5113.84,5422.94,5273.840000000001,8324.539999999999,5682.560000000009,4910.52,6195.48,4285.92,8524.900000000001,6150.599999999998,6127.84,6494.06,6205.44,4727.759999999998
4,40449.44,26081.0,59587.52,59302.68,25264.60000000001,58965.8,45831.36,42120.44,40636.76,40700.56,5162.319999999999,4269.88,6368.08,8418.64,8085.360000000002,4495.16,4652.6,6108.64,6861.12,7283.399999999998,4494.199999999998,6127.96,6307.8,8185.800000000001,5726.2400000000025,4483.16,8105.44,6785.3600000000015,6216.440000000001,23206.64000000001,8395.52,8405.08,7696.559999999998,8337.44,15435.999999999995,11299.999999999995,7950.88,9499.16,7828.2800000000025,8088.92
5,52972.2,50037.0,69260.8,71362.2,48354.4,66230.0,72029.4000000001,59290.6,51743.8,46244.2,8188.6,8223.6,8103.4,7863.200000000003,7890.699999999999,6917.799999999994,8722.0,8426.7,10276.2,8210.5,8342.0,8448.8,8342.5,8246.0,8504.7,8390.800000000001,8587.3,8245.1,8299.199999999999,29799.1,18190.2,7953.4,13775.399999999983,8972.999999999995,30576.0,28454.5,17888.0,11582.600000000004,18937.999999999996,17989.2
6,109588.32,67223.0,109751.56,111226.64,64732.88,103336.8,74315.44,76922.08,61678.36,74978.56,7885.600000000002,8254.88,18006.559999999998,17842.480000000003,15526.879999999992,8507.16,8315.800000000001,18143.24,13287.88,10333.99999999999,7470.800000000001,17105.44,14307.599999999993,11554.400000000007,7619.559999999998,8016.360000000002,18304.52,9379.279999999997,18193.48,46247.59999999999,29080.400000000016,17863.28,23588.67999999993,19961.119999999955,34792.60000000001,34771.4,35252.48,15611.12,34778.04,35422.64
7,182079.6,85655.0,143891.91999999998,182534.28,84154.31999999999,120663.6,120085.52000000002,108951.38,70419.76,101083.04,17325.8,14654.920000000002,31869.120000000006,31618.960000000006,31963.34,18262.44,15682.000000000005,31879.14,13707.840000000006,18878.999999999996,16880.2,31684.119999999948,32704.2,20280.799999999992,17990.480000000007,13971.94,32731.44,11920.779999999995,32018.640000000007,68237.36,35322.72,35473.12,43017.28,34458.48,35257.1,39402.29999999999,33253.92,25515.200000000004,36435.43999999997,33438.16
8,210925.24,117455.0,180679.12,209084.04,98866.6,175345.8,192519.0000000001,119408.84,75975.72,115904.68,31575.28,19569.600000000013,29989.96,29808.68,29999.56,32174.68,32759.8,30067.24,16197.04,31188.4,30706.399999999994,30841.52,30496.6,31238.8,31685.28,30600.56,30611.32,12150.840000000002,29963.24,100453.44,33360.68,34164.319999999985,40306.68,37689.11999999997,41717.4,54713.599999999984,38987.92,43401.72,44418.35999999999,37073.35999999999
9,227365.2,122305.0,247659.92,219252.76,132875.88000000006,220794.39999999985,254789.8,143263.86,120942.8,210033.20000000007,30024.56,31288.48,33864.92,39694.36,48568.34,30716.98,31027.6,48261.14,16139.600000000004,29551.3,31017.4,29349.63999999998,30851.200000000008,29559.6,30976.58,31047.98,31607.64,19417.18,32654.240000000005,99790.14,39549.680000000015,52467.08,59811.96000000001,52004.64,56238.99999999999,60189.99999999997,50482.8,41213.84,44572.84,41309.32
